2026-05-29 14:08:29.323 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarting(53) - Starting ProjectIntegratedApplication using Java 17.0.19 with PID 31552 (D:\eclipse-2024-09\workspace\project-integrated\build\classes\java\main started by wikto in D:\eclipse-2024-09\workspace\project-integrated)
2026-05-29 14:08:29.325 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-05-29 14:09:20.470 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarting(53) - Starting ProjectIntegratedApplication using Java 17.0.19 with PID 31560 (D:\eclipse-2024-09\workspace\project-integrated\build\classes\java\main started by wikto in D:\eclipse-2024-09\workspace\project-integrated)
2026-05-29 14:09:20.473 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-05-29 14:09:28.161 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarted(59) - Started ProjectIntegratedApplication in 8.411 seconds (process running for 9.057)
2026-05-29 14:10:55.835 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarting(53) - Starting ProjectIntegratedApplication using Java 17.0.19 with PID 43492 (D:\eclipse-2024-09\workspace\project-integrated\build\classes\java\main started by wikto in D:\eclipse-2024-09\workspace\project-integrated)
2026-05-29 14:10:55.837 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-05-29 14:11:03.058 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarted(59) - Started ProjectIntegratedApplication in 7.819 seconds (process running for 8.384)
2026-05-29 14:12:21.998 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarting(53) - Starting ProjectIntegratedApplication using Java 17.0.19 with PID 10324 (D:\eclipse-2024-09\workspace\project-integrated\build\classes\java\main started by wikto in D:\eclipse-2024-09\workspace\project-integrated)
2026-05-29 14:12:21.999 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-05-29 14:12:28.074 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarted(59) - Started ProjectIntegratedApplication in 6.66 seconds (process running for 7.238)
2026-05-29 14:26:56.227 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarting(53) - Starting ProjectIntegratedApplication using Java 17.0.19 with PID 37704 (D:\eclipse-2024-09\workspace\project-integrated\build\classes\java\main started by wikto in D:\eclipse-2024-09\workspace\project-integrated)
2026-05-29 14:26:56.229 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-05-29 14:27:02.212 [restartedMain] INFO  c.p.ProjectIntegratedApplication.logStarted(59) - Started ProjectIntegratedApplication in 6.562 seconds (process running for 7.171)
